,Carac menos 2,Carac menos 1,Etiqueta
0,35.2,35.1,35.4
1,35.1,35.4,36.2
2,35.4,36.2,37.4
3,36.2,37.4,38.9
4,37.4,38.9,40.1
5,38.9,40.1,42.0
6,40.1,42.0,43.5
7,42.0,43.5,48.3
8,43.5,48.3,62.1
9,48.3,62.1,65.5
10,62.1,65.5,63.9
11,65.5,63.9,84.4
12,63.9,84.4,120.1
13,84.4,120.1,103.0
14,120.1,103.0,106.7
15,103.0,106.7,168.4
16,106.7,168.4,154.1
17,168.4,154.1,151.8
18,154.1,151.8,183.9
19,151.8,183.9,177.3
20,183.9,177.3,166.5
21,177.3,166.5,143.5
22,166.5,143.5,140.3
23,143.5,140.3,129.2
24,140.3,129.2,122.9
25,129.2,122.9,116.0
26,122.9,116.0,134.5
27,116.0,134.5,148.3
28,134.5,148.3,142.6
29,148.3,142.6,155.5
30,142.6,155.5,165.0
31,155.5,165.0,183.4
32,165.0,183.4,183.3
33,183.4,183.3,217.1
34,183.3,217.1,226.0
35,217.1,226.0,226.0
36,226.0,226.0,226.8
37,226.0,226.8,218.6
38,226.8,218.6,223.15
39,218.6,223.15,225.5
40,223.15,225.5,223.1
41,225.5,223.1,224.0
42,223.1,224.0,220.7
43,224.0,220.7,220.65
44,220.7,220.65,217.6
45,220.65,217.6,216.85
46,217.6,216.85,220.65
47,216.85,220.65,227.25
48,220.65,227.25,231.75
49,227.25,231.75,230.55
50,231.75,230.55,235.0
51,230.55,235.0,230.0
52,235.0,230.0,236.1
53,230.0,236.1,233.85
54,236.1,233.85,235.45
55,233.85,235.45,235.2
56,235.45,235.2,233.5
57,235.2,233.5,233.7
58,233.5,233.7,229.35
59,233.7,229.35,230.3
60,229.35,230.3,243.1
61,230.3,243.1,244.5
62,243.1,244.5,251.6
63,244.5,251.6,250.5
64,251.6,250.5,246.75
65,250.5,246.75,244.25
66,246.75,244.25,240.6
67,244.25,240.6,240.65
68,240.6,240.65,247.75
69,240.65,247.75,247.05
70,247.75,247.05,248.1
71,247.05,248.1,247.0
72,248.1,247.0,250.75
73,247.0,250.75,252.35
74,250.75,252.35,251.0
75,252.35,251.0,248.6
76,251.0,248.6,247.9
77,248.6,247.9,251.3
78,247.9,251.3,248.8
79,251.3,248.8,248.0
80,248.8,248.0,238.15
81,248.0,238.15,239.75
82,238.15,239.75,242.25
83,239.75,242.25,239.2
84,242.25,239.2,241.0
85,239.2,241.0,240.0
86,241.0,240.0,239.1
87,240.0,239.1,239.5
88,239.1,239.5,240.1
89,239.5,240.1,244.0
90,240.1,244.0,242.25
91,244.0,242.25,242.1
